"PDB","UniProt","Len.","Res.","ECOD ID","SCOPe ID","CATH ID","α%","β%","Coil%","Avg. RMSF","Avg. gyr.","Div. SE","Div. MM","NR domain"
"1by2A","Q08380","119","2.0","[358.1.1.5]","d.170.1.1","3.10.250.10","11","31","58","1.58","13.92","0.851","0.805","Yes"
"1c1kA","P13342","217","1.45","[546.1.1.2]","a.120.1.1","1.10.8.60 1.10.220.50","65","4","31","0.73","19.12","0.932","0.904","Yes"
"1c52A","P04164","131","1.28","[107.1.1.4]","a.3.1.1","1.10.760.10","43","9","48","1.14","14.00","0.855","0.805","Yes"
"1c96A","P20004","753","1.81","2487.1.1.2 [7542.1.1.1] 7542.1.1.1 7542.1.2.1","c.8.2.1 c.83.1.1","3.20.19.10 3.30.499.10 3.30.499.10 3.40.1060.10","35","21","45","1.59","27.23","0.802","0.907","Yes"
"1chdA","P04042","203","1.75","[7548.1.1.1]","c.40.1.1","3.40.50.180","33","26","42","1.38","16.07","0.890","0.871","Yes"
"1cojA","Q9X6W9","212","1.9","192.3.1.1 [228.1.1.1]","a.2.11.1 d.44.1.1","-","55","12","33","1.30","19.55","0.846","0.836","Yes"
"1cpqA","P00147","129","1.72","[601.2.1.2]","a.24.3.2","1.20.120.10","73","2","26","0.88","15.64","0.882","0.840","Yes"
"1ctfA","P0A7K2","74","1.7","[308.1.1.2]","d.45.1.1","3.30.1390.10","47","23","30","1.09","12.55","0.761","0.713","Yes"
"1cuoA","P12335","129","1.6","[3156.1.1.1]","b.6.1.1","2.60.40.420","17","33","50","0.72","14.11","0.896","0.890","Yes"
"1d2tA","Q9S1A6","231","1.9","[180.1.1.1]","a.111.1.1","1.20.144.10","60","0","40","1.46","18.35","0.845","0.876","Yes"
"1d3yB","Q57815","301","2.0","[4027.1.1.1] 101.21.1.1 2006.1.3.9","e.12.1.1","1.10.10.10 3.40.1360.10","53","16","31","1.31","21.94","0.873","0.830","Yes"
"1d4tA","O60880","104","1.1","214.1.1.26","d.93.1.1","3.30.505.10","16","29","55","0.78","13.19","0.881","0.901","No"
"1dciC","Q62651","275","1.5","2486.1.1.21","c.14.1.3","1.10.12.10 3.90.226.10","53","16","32","1.43","20.33","0.867","0.797","No"
"1dd3B","P29396","128","2.0","[156.1.1.1] 308.1.1.2","a.108.1.1 d.45.1.1","1.20.5.710 3.30.1390.10","64","12","23","5.84","19.89","0.551","0.563","Yes"
"1dfuP","P68919","94","1.8","239.1.1.14","b.53.1.1","2.40.240.10","20","43","37","0.83","13.20","0.857","0.808","No"
"1dj0B","P07649","264","1.5","304.102.1.2","d.265.1.1","3.30.70.580 3.30.70.660","25","28","47","0.94","19.88","0.913","0.927","No"
"1dk8A","O15169","147","1.57","[196.1.1.1]","a.91.1.1","1.10.167.10 1.10.196.10","67","0","33","1.89","17.93","0.866","0.866","Yes"
"1dljA","P0C0F4","402","1.8","[129.1.1.15] 2003.1.1.50 2003.1.12.23","a.100.1.4 c.2.1.6 c.26.3.1","1.10.1040.10 3.40.50.720 3.40.50.720","44","13","43","1.48","24.38","0.814","0.814","Yes"
"1doiA","P00217","128","1.9","[221.1.1.12]","d.15.4.1","3.10.20.30","24","25","51","0.89","14.02","0.838","0.849","Yes"
"1dowA","P26231","205","1.8","601.1.1.21","a.24.9.1","1.20.120.230","88","0","12","1.63","25.59","0.863","0.607","No"
"1dptA","P30046","117","1.54","315.1.1.3","d.80.1.3","3.30.429.10","38","28","34","1.65","14.93","0.811","0.815","No"
"1dtdB","P48052","61","1.65","[905.1.1.1]","g.30.1.1","3.30.1040.10","15","48","38","0.82","10.96","0.828","0.746","Yes"
"1dvoA","P29367","152","2.0","[505.1.1.2]","a.136.1.1","1.10.1710.10","66","8","26","2.05","23.60","0.720","0.731","Yes"
"1dwkA","P00816","156","1.65","101.1.4.23 [812.2.1.1]","a.35.1.4 d.72.1.1","1.10.260.40 3.30.1160.10","47","20","33","3.50","17.58","0.561","0.533","Yes"
"1dzfA","P20434","215","1.9","[840.1.1.1] 2008.3.1.1","c.52.3.1 d.78.1.1","3.40.1340.10 3.90.940.20","37","20","44","1.33","19.31","0.856","0.739","Yes"
"1earA","P50049","147","1.7","[55.1.1.1] 304.22.1.1","b.107.1.1 d.58.38.1","2.60.260.20 3.30.70.790","18","35","47","2.10","18.50","0.687","0.531","Yes"
"1ef1D","P26038","90","1.9","[583.1.1.1]","a.137.5.1","6.10.360.10","57","0","43","7.42","17.85","0.235","0.344","Yes"
"1egwB","Q02078","77","1.5","[263.1.1.1]","d.88.1.1","3.40.1810.10","47","13","40","5.71","17.32","0.452","0.374","Yes"
"1eswA","O87172","500","1.9","[2002.1.1.100]","c.1.8.1","3.20.20.80","47","13","41","0.83","23.67","0.950","0.953","Yes"
"1ewfA","P17213","456","1.7","[883.1.1.4] 883.1.1.5","d.83.1.1 d.83.1.1","3.15.10.10 3.15.20.10","24","43","33","1.51","36.53","0.846","0.799","Yes"
"1ez3B","P32851","127","1.9","603.1.1.26","a.47.2.1","1.20.58.70","84","0","16","1.14","19.79","0.851","0.872","No"
"1f20A","P29476","435","1.9","1.1.7.64 [3687.1.1.1] [7514.1.1.1]","b.43.4.1 c.25.1.4","1.20.990.10 2.40.30.10 3.40.50.80","36","25","39","1.31","26.66","0.901","0.844","Yes"
"1f3uG","P13984","118","1.7","[59.1.1.13]","b.65.1.1","-","14","41","46","2.94","17.02","0.552","0.496","Yes"
"1f5nA","P32455","592","1.7","[621.1.1.2] 2004.1.1.98","a.114.1.1 c.37.1.8","1.20.1000.10 3.40.50.300","63","11","26","1.76","38.52","0.857","0.821","Yes"
"1f9pA","P02775","85","1.93","[1170.1.1.1]","d.9.1.1","2.40.50.40","20","20","60","4.04","16.09","0.541","0.590","Yes"
"1fczA","P13631","235","1.38","[188.1.1.1]","a.123.1.1","1.10.565.10","64","4","31","0.79","18.11","0.947","0.933","Yes"
"1fd3A","O15263","41","1.35","[383.1.1.4]","g.9.1.1","3.10.360.10","15","29","56","0.58","9.40","0.858","0.817","Yes"
"1fehA","P29166","574","1.8","205.1.1.15 221.1.1.15 [7556.1.1.1] [5100.1.1.2] [581.1.1.1]","c.96.1.1 d.15.4.2 d.58.1.5","3.10.20.740 3.30.70.20","41","17","42","1.85","26.97","0.792","0.808","Yes"
"1fk5A","P19656","93","1.3","[185.1.1.3]","a.52.1.1","1.10.110.10","60","0","40","0.91","12.14","0.816","0.788","Yes"
"1fm4A","P43185","159","1.97","[331.3.1.15]","d.129.3.1","3.30.530.20","24","40","36","0.83","15.63","0.880","0.914","Yes"
"1fn9A","P03527","365","1.8","[856.1.1.1]","d.196.1.1","3.90.1320.10 3.90.1630.10","40","12","48","0.84","23.07","0.953","0.951","Yes"
"1fs1A","Q13309","53","1.8","[145.1.1.3]","a.158.1.1","1.20.1280.50","57","0","43","2.78","11.58","0.529","0.556","Yes"
"1fx4A","Q99280","231","1.9","[304.48.1.10]","d.58.29.1","3.30.70.1230","39","24","37","0.89","18.07","0.925","0.871","Yes"
"1fxoG","Q9HU22","293","1.66","7516.1.1.14","c.68.1.6","3.90.550.10","37","23","40","1.02","19.29","0.885","0.886","No"
"1g2rA","A0A0H2UNW2","100","1.35","[377.4.1.1]","d.192.1.1","3.30.1230.10","37","23","40","2.42","14.96","0.799","0.766","Yes"
"1g38A","P14385","393","2.0","[4333.1.1.2] 2003.1.5.51","c.66.1.27 d.287.1.1","3.40.50.150 3.90.220.10","26","27","47","1.11","25.07","0.833","0.894","Yes"
"1g6gA","P22216","127","1.6","73.1.1.1","b.26.1.2","2.60.200.20","11","40","49","0.74","14.60","0.900","0.908","No"
"1g7sA","O26359","594","2.0","1.1.7.21 1.1.7.22 2004.1.1.258 [7526.1.1.1]","b.43.3.1 b.43.3.1 c.20.1.1 c.37.1.8","2.40.30.10 2.40.30.10 3.40.50.300 3.40.50.10050","33","31","36","3.41","36.75","0.629","0.601","Yes"
"1g9gA","P37698","629","1.9","[109.2.1.15]","a.102.1.2","1.50.10.10 2.170.160.10 4.10.870.10","39","16","46","0.65","23.66","0.979","0.977","Yes"
"1gntA","P31101","553","1.25","[4044.1.1.11] 4044.1.1.12 [7586.1.1.1] 7586.1.1.2 [4017.1.1.3]","e.26.1.1","1.20.1270.20 1.20.1270.20 3.40.50.2030 3.40.50.2030","49","12","39","1.02","24.10","0.934","0.916","Yes"
"1gpjA","Q9UXR8","404","1.95","[547.1.1.1] 304.41.1.1 2003.1.1.418","a.151.1.1 c.2.1.7 d.58.39.1","1.10.1200.70 3.30.460.30 3.40.50.720","57","13","30","2.41","33.36","0.783","0.620","Yes"
"1gqeA","P07012","365","1.81","[4006.1.1.2] 304.116.1.1 330.3.1.1 330.3.1.2","e.38.1.1","1.20.58.410 3.30.70.1660 3.30.160.20","51","20","29","4.07","26.00","0.631","0.563","Yes"
"1gqvA","P10153","135","0.98","[372.1.1.1]","d.5.1.1","3.10.130.10","22","32","46","0.87","15.30","0.879","0.841","Yes"
"1gteD","Q28943","1025","1.65","[187.1.1.3] 205.1.1.14 2002.1.1.39 2003.1.2.30 2003.1.3.40","a.1.2.2 c.1.4.1 c.3.1.1 c.4.1.1 d.58.1.5","1.10.1060.10 3.20.20.70 3.30.70.20 3.50.50.60 3.50.50.60","34","16","49","2.42","34.95","0.796","0.740","Yes"
"1gweA","P29422","503","0.88","[4028.1.1.4] [4047.1.1.4] [4048.1.1.1]","e.5.1.1","2.40.180.10","31","16","53","2.60","25.32","0.787","0.793","Yes"
"1h02B","P05019","70","2.0","[367.1.1.1]","g.1.1.1","1.10.100.10","39","6","56","2.55","13.29","0.647","0.629","Yes"
"1h16A","P09373","759","1.53","[2500.1.1.10] [7090.1.1.1]","c.7.1.1","3.20.70.20","47","11","43","0.70","26.33","0.963","0.977","Yes"
"1h2eA","Q9ALU0","207","1.69","[7525.1.1.1]","c.60.1.1","3.40.50.1240","40","18","43","0.74","17.05","0.943","0.928","Yes"
"1h8eG","P19483","272","2.0","[7519.1.1.1]","c.49.2.1","1.10.287.80 3.40.1380.10","64","14","22","1.83","27.72","0.748","0.766","Yes"
"1h99A","P39805","224","1.55","[162.1.1.8] 162.1.1.8","a.142.1.1 a.142.1.1","1.10.1790.10 1.10.1790.10","73","0","27","2.35","22.28","0.493","0.444","Yes"
"1hbnE","P11558","442","1.16","[154.1.1.2] 304.35.1.2","a.89.1.1 d.58.31.2","1.20.840.10 3.30.70.470","54","9","38","0.93","24.00","0.941","0.885","Yes"
"1hc9B","P60616","74","1.8","382.1.1.3","g.7.1.1","2.10.60.10","5","36","58","1.32","12.72","0.810","0.794","No"
"1hp1A","P07024","516","1.7","246.2.1.2 [805.1.1.1]","d.114.1.1 d.159.1.2","3.60.21.10 3.90.780.10","27","29","43","1.72","26.06","0.691","0.876","Yes"
"1hq0A","Q47106","295","1.83","[288.1.1.2]","d.194.1.1","3.60.100.10","15","37","48","0.77","18.49","0.950","0.943","Yes"
"1hufA","O68720","140","2.0","[847.1.1.1]","d.195.1.1","3.30.1570.10","44","17","39","1.65","15.39","0.847","0.852","Yes"
"1hw1B","P0A8V6","239","1.5","101.1.2.52 [628.1.1.1]","a.4.5.6 a.78.1.1","1.10.10.10 1.20.120.530","72","4","24","1.80","21.23","0.614","0.794","Yes"
"1hyeA","Q60176","313","1.9","[279.1.1.23] 2003.1.1.40","c.2.1.5 d.162.1.1","3.40.50.720 3.90.110.10","46","24","30","0.87","19.78","0.949","0.915","Yes"
"1i2tA","O95071","61","1.04","[143.1.1.1]","a.144.1.1","1.10.1900.10","82","0","18","0.73","10.91","0.861","0.845","Yes"
"1i4mA","P04156","108","2.0","[254.1.1.1]","d.6.1.1","1.10.790.10","57","4","39","4.75","16.65","0.355","0.394","Yes"
"1ifgA","P23827","140","2.0","[521.1.1.1]","b.16.1.1","2.60.40.550","5","46","49","1.19","17.01","0.841","0.812","Yes"
"1ig0B","P35202","319","1.8","10.11.1.1 [7562.1.1.1]","b.82.6.1 c.100.1.1","2.60.120.320 3.40.50.10240","34","29","37","0.96","21.41","0.937","0.921","Yes"
"1ig3A","Q9R0M5","263","1.9","10.11.1.1 7562.1.1.2","b.82.6.1 c.100.1.1","2.60.120.320 3.40.50.10240","23","32","46","3.34","19.85","0.801","0.824","No"
"1ijtA","P08620","128","1.8","[6.1.1.8]","b.42.1.1","2.80.10.50","7","41","52","0.62","13.57","0.941","0.914","Yes"
"1ijxC","P97401","127","1.9","543.1.1.2","a.141.1.1","1.10.2000.10","39","7","54","1.56","14.80","0.818","0.829","No"
"1ikpA","P11439","613","1.45","10.1.1.10 [5000.5.1.1] 237.1.1.11","b.29.1.7 d.166.1.1 f.1.5.1","2.60.120.200 3.90.175.10 3.90.1350.10","30","26","44","1.23","26.71","0.915","0.875","Yes"
"1iktA","P51659","120","1.75","[268.1.1.3]","d.106.1.1","3.30.1050.10","45","26","29","1.08","13.61","0.800","0.780","Yes"
"1im5A","O58727","180","1.65","[7561.1.1.1]","c.33.1.3","3.40.50.850","29","24","47","0.81","15.96","0.886","0.873","Yes"
"1io1A","P06179","398","2.0","[4032.1.1.1] 4032.1.1.2 4032.1.1.3 601.51.1.2","e.32.1.1","1.20.1330.10 2.30.220.10 2.170.280.10","33","29","38","2.10","34.68","0.832","0.891","Yes"
"1iomA","Q5SIM6","377","1.5","[172.1.1.1]","a.103.1.1","1.10.230.10 1.10.580.10","60","3","36","1.98","21.99","0.892","0.888","Yes"
"1iuqA","P10349","367","1.55","[7558.1.1.2]","c.112.1.1","1.10.1200.50 3.40.1130.10","50","11","39","1.08","21.32","0.906","0.907","Yes"
"1ix9A","P00448","205","0.9","192.3.1.1 228.1.1.1","a.2.11.1 d.44.1.1","1.10.287.990 3.55.40.20","52","12","36","0.83","16.98","0.923","0.899","No"
"1j0pA","P00132","108","0.91","[139.1.1.2]","a.138.1.1","3.90.10.10","27","9","64","4.31","15.05","0.315","0.236","Yes"
"1j2lA","P21859","70","1.7","[366.1.1.3]","g.20.1.1","4.10.70.10","0","16","84","1.47","14.73","0.747","0.601","Yes"
"1j5uA","Q9X0H1","136","2.0","[256.1.1.1] 256.1.1.3","d.208.1.1","3.55.10.10","24","39","38","6.03","17.67","0.785","0.786","Yes"
"1j77A","Q9RGD9","209","1.5","[150.1.2.6]","a.132.1.2","1.20.910.10","65","1","33","1.37","17.47","0.873","0.838","Yes"
"1j8eA","Q07954","44","1.85","[389.3.1.1]","g.12.1.1","4.10.400.10","16","14","70","2.12","10.31","0.374","0.399","Yes"
"1j8rA","Q47450","196","1.8","[11.1.5.31]","b.2.3.3","2.60.40.1370","2","57","41","0.75","19.55","0.922","0.903","Yes"
"1jhsA","P47123","188","1.9","881.1.1.4","d.107.1.1","3.40.1000.10","22","39","39","0.90","16.64","0.875","0.877","No"
"1jifA","Q53793","122","1.6","211.1.1.6 211.1.1.15","d.32.1.2","3.10.180.10","20","38","42","1.28","14.26","0.811","0.808","No"
"1jkeC","P0A6M4","145","1.55","2494.1.1.2","c.110.1.1","3.50.80.10","24","41","34","1.14","15.42","0.860","0.823","No"
"1jnrC","O28603","643","1.6","604.2.1.3 278.1.1.4 2003.1.2.143","a.7.3.1 c.3.1.4 d.168.1.1","1.20.58.100 3.50.50.60 3.90.700.10","38","16","45","1.06","25.26","0.933","0.934","No"
"1jo0A","P71376","98","1.37","328.4.1.1","d.68.4.1","3.30.110.60","41","20","39","1.14","13.66","0.825","0.750","No"
"1jq5A","P32816","370","1.7","[4002.1.1.3] 2007.1.7.5","e.22.1.2","1.20.1090.10 3.40.50.1970","58","13","29","0.98","21.56","0.780","0.897","Yes"
"1juvA","P04382","193","1.7","[7501.1.1.1]","c.71.1.1","3.40.430.10","21","35","44","0.83","17.27","0.928","0.882","Yes"
"1jwqA","Q9LCR3","179","1.8","[2011.1.1.1]","c.56.5.6","3.40.630.40","42","24","34","0.73","15.45","0.888","0.883","Yes"
"1jyoB","P0CL16","130","1.9","241.1.1.2","d.198.1.1","3.30.1460.10","43","28","28","0.94","15.74","0.886","0.773","No"
"1jyoF","P0CL16","105","1.9","[853.1.1.1]","d.184.1.2","4.10.1330.10","53","6","41","6.35","19.81","0.317","0.300","Yes"
"1k5nA","P01889","276","1.09","11.1.1.2544 233.1.1.2","b.1.1.2 d.19.1.1","2.60.40.10 3.30.500.10","28","38","33","3.12","25.17","0.630","0.608","No"
"1k7cA","Q00017","233","1.12","[2007.5.1.31]","c.23.10.4","3.40.50.1110","39","17","43","0.93","17.49","0.901","0.877","Yes"
"1k7jA","P0AFR4","206","1.4","[297.1.1.3]","d.115.1.1","3.90.870.10","31","23","46","0.75","16.75","0.884","0.902","Yes"
"1k8kE","P61157","178","2.0","[533.1.1.1]","a.148.1.1","1.10.1760.10","44","4","52","1.16","16.12","0.846","0.835","Yes"
"1ka1A","P32179","357","1.3","[4018.1.1.4] [7587.1.1.3]","e.7.1.1","3.30.540.10 3.40.190.80","36","20","44","0.87","20.39","0.903","0.934","Yes"
"1kewA","P26391","361","1.8","2003.1.1.410","c.2.1.2","3.40.50.720 3.90.25.10","48","17","35","1.16","20.81","0.841","0.865","No"
"1kgqA","P56220","274","2.0","208.1.1.9 [3001.1.1.2]","b.81.1.2","1.10.166.10 2.160.10.10","21","29","50","1.16","20.21","0.891","0.857","Yes"
"1kntA","P12111","58","1.6","[384.1.1.13]","g.8.1.1","4.10.410.10","14","29","57","0.98","11.31","0.802","0.719","Yes"
"1koeA","P39061","172","1.5","209.1.1.11","d.169.1.5","3.10.100.10","19","25","56","0.64","14.87","0.934","0.899","No"
"1kopA","Q50940","223","1.9","62.1.1.1","b.74.1.1","3.10.200.10","14","33","53","0.91","17.17","0.877","0.819","No"
"1kptA","Q90121","105","1.75","3887.1.1.1","d.70.1.1","3.30.430.10","30","29","42","0.52","12.58","0.972","0.925","No"
"1krnA","P00747","88","1.67","[380.1.1.2]","g.14.1.1","2.40.20.10","0","19","81","1.63","13.32","0.846","0.770","Yes"
"1l2pA","P0ABA0","61","1.55","[5046.1.1.3]","f.23.21.1","1.20.5.620","95","0","5","3.23","26.79","0.517","0.557","Yes"
"1l2wI","A0A0N9NJF3","69","2.0","[854.1.1.1]","d.184.1.2","-","30","6","64","10.57","18.33","0.224","0.213","Yes"
"1l5oA","Q05603","356","1.6","[7553.1.1.1]","c.39.1.1","1.10.1610.10 3.40.50.10210","50","11","39","1.42","21.66","0.907","0.920","Yes"
"1l9lA","P22749","74","0.92","[198.1.1.9]","a.64.1.1","1.10.225.10","76","0","24","0.69","11.95","0.912","0.847","Yes"
"1lc3A","P46844","294","1.5","[298.1.1.2] 2003.1.1.414","c.2.1.3 d.81.1.4","3.30.360.10 3.40.50.720","37","26","37","1.19","20.65","0.869","0.760","Yes"
"1lfpA","O67517","249","1.72","[4003.1.1.1] 304.117.1.1 [4007.1.1.1]","e.39.1.1","1.10.10.200 3.30.70.980 3.30.70.980","40","23","37","1.66","19.24","0.833","0.806","Yes"
"1lj5A","P05121","379","1.8","[4059.1.1.3]","e.1.1.1","2.30.39.10 3.30.497.10","28","35","37","0.78","21.35","0.969","0.954","Yes"
"1llfB","Q6S5M9","534","1.4","7579.1.1.6","c.69.1.17","3.40.50.1820","37","16","47","0.85","22.83","0.926","0.905","No"
"1llnA","Q40772","262","1.6","292.1.1.1","d.165.1.1","3.40.420.10 4.10.470.10","35","23","42","0.72","18.81","0.952","0.926","No"
"1lr0A","P50600","129","1.91","[272.1.1.2]","d.212.1.1","3.30.1150.10","56","18","26","2.73","18.59","0.748","0.725","Yes"
"1lriA","P15570","98","1.45","[357.1.1.2]","a.134.1.1","1.10.239.10","61","7","32","0.87","12.73","0.768","0.771","Yes"
"1lslA","P07996","113","1.9","[922.1.1.4] 922.1.1.4","g.60.1.1 g.60.1.1","2.20.100.10 2.20.100.10","0","28","72","3.46","31.46","0.542","0.390","Yes"
"1lwdB","P33198","413","1.85","7510.1.1.2 7510.1.1.2","c.77.1.1","3.40.718.10","47","21","32","1.32","23.03","0.829","0.853","No"
"1m15A","P51541","357","1.2","[199.1.1.1] [321.1.1.1]","a.83.1.1 d.128.1.2","1.10.135.10 3.30.590.10","40","17","42","1.03","20.96","0.847","0.866","Yes"
"1m5qI","Q8ZVU2","130","2.0","4.1.1.74 [3006.1.1.1]","b.38.1.1","2.30.30.100 3.30.310.60","24","37","39","3.54","18.06","0.578","0.488","Yes"
"1m7vA","O34453","363","1.95","262.1.1.1","d.174.1.1","3.90.340.10 3.90.440.10 3.90.1230.10","41","13","46","0.87","22.42","0.926","0.861","No"
"1m8sA","O42191","124","1.9","[371.1.1.1]","a.133.1.2","1.20.90.10","48","7","44","0.92","14.97","0.886","0.817","Yes"
"1m9zA","P37173","111","1.05","[382.1.1.2]","g.7.1.3","2.10.60.10","5","41","53","1.59","13.90","0.867","0.884","Yes"
"1md6A","Q9QYY1","154","1.6","6.1.1.10","b.42.1.2","2.80.10.50","10","38","52","1.05","15.16","0.853","0.831","No"
"1mk0A","P13299","97","1.6","[821.1.1.1]","d.226.1.1","3.40.1440.10","40","22","38","0.71","13.21","0.877","0.895","Yes"
"1mlwA","P17752","301","1.71","[257.1.1.1]","d.178.1.1","1.10.800.10","50","11","40","0.99","19.26","0.909","0.922","Yes"
"1mscA","P03612","129","2.0","[265.1.1.1]","d.85.1.1","3.30.380.10","16","36","48","2.64","16.01","0.517","0.555","Yes"
"1mskA","P13009","331","1.8","[258.1.1.1]","d.173.1.1","1.10.288.10 3.10.196.10","38","17","45","1.18","22.10","0.884","0.809","Yes"
"1mv8C","P11759","436","1.55","129.1.1.15 2003.1.1.13 2003.1.12.23","a.100.1.4 c.2.1.6 c.26.3.1","1.20.5.170 3.40.50.720 3.40.50.720","45","14","41","2.31","26.35","0.610","0.610","No"
"1n2mA","Q57764","165","1.9","[303.1.1.2]","d.155.1.2","3.50.20.10","19","42","39","1.84","17.04","0.887","0.905","Yes"
"1n7zA","P19062","334","2.0","4.30.1.1 [3899.1.1.1]","b.127.1.1","2.60.340.10 2.170.290.10","17","27","56","1.83","23.68","0.871","0.789","Yes"
"1n8uA","Q9NG96","112","1.8","[530.1.1.1]","a.118.21.1","1.10.2080.10","66","0","34","1.60","14.03","0.602","0.646","Yes"
"1nf8A","P0DPB9","207","1.6","7561.1.1.1","c.33.1.3","3.40.50.850","41","18","41","1.00","16.65","0.893","0.844","No"
"1ng6A","P54464","148","1.4","610.4.1.1","a.182.1.1","1.10.10.410 1.10.1510.10","77","0","23","2.39","18.79","0.626","0.624","No"
"1nh2B","P13393","53","1.9","[104.1.1.]","a.32.1.1","1.10.287.100","81","0","19","1.02","12.36","0.648","0.626","Yes"
"1nijA","P24203","318","2.0","[884.1.1.1] 2004.1.1.1408","c.37.1.10 d.237.1.1","3.30.1220.10 3.40.50.300","30","31","39","0.93","21.19","0.945","0.915","Yes"
"1njhA","O31858","119","1.7","[3504.1.1.1]","b.128.1.1","2.70.180.10","13","50","37","1.25","14.30","0.810","0.782","Yes"
"1nl1A","P00735","147","1.9","380.1.1.2 [393.1.1.6]","g.14.1.1 g.32.1.1","2.40.20.10","18","8","73","2.85","18.51","0.599","0.695","Yes"
"1nnhA","Q8TZN6","294","1.65","314.1.1.5","d.104.1.1","3.30.930.10","37","22","41","1.40","19.84","0.856","0.820","No"
"1nnsA","P00805","326","1.95","7507.1.1.1 7546.1.1.1","c.88.1.1","3.40.50.40 3.40.50.1170","33","23","44","1.16","20.85","0.911","0.859","No"
"1ntvA","P97318","152","1.5","220.1.1.20","b.55.1.2","2.30.29.30","32","33","35","0.90","16.18","0.880","0.863","No"
"1ntyA","O75962","311","1.7","220.1.1.57 [133.1.1.1]","a.87.1.1 b.55.1.1","1.20.900.10 2.30.29.30","53","17","30","2.28","24.82","0.718","0.770","Yes"
"1o0sA","P27443","605","2.0","7073.1.1.1 2003.1.1.41 2007.1.6.1","c.2.1.7 c.58.1.3","1.20.1370.30 3.40.50.720 3.40.50.10380 6.20.310.10","47","10","43","2.50","28.23","0.876","0.896","No"
"1o1xA","Q9X0G9","155","1.9","[7560.1.1.1]","c.121.1.1","3.40.1400.10","41","15","43","2.35","16.05","0.850","0.852","Yes"
"1o4kA","P12931","108","1.57","[214.1.1.26]","d.93.1.1","3.30.505.10","19","29","52","0.94","13.77","0.853","0.818","Yes"
"1o75A","P29723","415","1.95","11.1.1.142 11.1.1.278 [711.1.1.1] 711.2.1.1","b.1.20.1 b.1.20.1 b.120.1.1","2.30.30.470 2.60.40.1270 2.60.40.1300 3.30.1490.200","12","45","43","2.38","24.29","0.788","0.676","Yes"
"1o98A","Q9X519","511","1.4","7515.1.1.4 7554.1.1.1","c.76.1.3 c.105.1.1","3.40.720.10 3.40.1450.10","38","17","45","1.86","25.42","0.587","0.568","No"
"1oaoC","P27989","729","1.9","4044.1.1.2 [4223.1.1.1] [4971.1.1.1] 7586.1.1.1 4017.1.1.4","e.26.1.3","1.10.8.190 3.30.1650.10 3.40.50.2030 3.40.970.20 3.40.1470.10","41","17","42","1.27","27.85","0.881","0.874","Yes"
"1ocyA","P10930","198","1.5","[877.1.1.15]","d.231.1.1","3.90.1340.10 4.10.1070.10","11","10","79","7.03","21.46","0.377","0.397","Yes"
